Invoice_ID,Date,Product,Category,Region,Customer,Units_Sold,Unit_Price,Discount,Payment_Method,Salesperson,Sales,Cost,Profit,Month,Quarter,Year
INV-033876,2022-08-30,Product_24,Home & Garden,North,Customer_87,25,406.94,0.01,PayPal,Salesperson_4,10071.76,4311.51,5760.25,8,3,2022
INV-015609,2019-12-30,Product_24,Toys,Central,Customer_731,10,403.51,0.18,PayPal,Salesperson_58,3308.78,1846.35,1462.43,12,4,2019
INV-042928,2019-05-23,Product_42,Toys,Central,Customer_302,29,98.29,0.25,Credit Card,Salesperson_76,2137.81,1269.31,868.5,5,2,2019
INV-006364,2020-10-31,Product_49,Clothing,Central,Customer_354,36,19.2,0.1,PayPal,Salesperson_79,622.08,340.28,281.8,10,4,2020
INV-037250,2022-07-11,Product_49,Clothing,East,Customer_75,22,95.65,0.15,Bank Transfer,Salesperson_77,1788.66,966.37,822.29,7,3,2022
INV-016052,2019-07-28,Product_32,Sports,North,Customer_912,10,417.58,0.18,Debit Card,Salesperson_33,3424.16,1810.35,1613.81,7,3,2019
INV-030850,2022-03-08,Product_12,Toys,Central,Customer_91,43,90.1,0.06,Debit Card,Salesperson_97,3641.84,1602.62,2039.22,3,1,2022
INV-046363,2019-09-12,Product_27,Clothing,South,Customer_809,46,269.69,0.08,Debit Card,Salesperson_93,11413.28,8239.74,3173.54,9,3,2019
INV-035147,2018-01-16,Product_16,Clothing,West,Customer_823,14,118.66,0.04,Bank Transfer,Salesperson_45,1594.79,685.02,909.77,1,1,2018
INV-042789,2019-10-02,Product_2,Electronics,East,Customer_98,34,187.69,0.16,PayPal,Salesperson_12,5360.43,3376.21,1984.22,10,4,2019
INV-020158,2018-11-27,Product_3,Toys,West,Customer_683,7,428.39,0.19,,Salesperson_17,2428.97,1795.96,633.01,11,4,2018
INV-015813,2020-08-13,Product_7,Electronics,North,Customer_332,32,397.31,0.01,Credit Card,Salesperson_18,12586.78,5330.34,7256.44,8,3,2020
INV-010709,2020-03-10,Product_38,Electronics,North,Customer_559,31,456.34,0.1,Bank Transfer,Salesperson_91,12731.89,7039.79,5692.1,3,1,2020
INV-026397,2019-05-28,Product_6,Sports,East,Customer_547,25,465.25,0.22,PayPal,Salesperson_85,9072.38,6997.28,2075.1,5,2,2019
INV-041874,2019-09-17,,Sports,West,Customer_160,22,236.23,0.16,Cash,Salesperson_96,4365.53,3403.26,962.27,9,3,2019
INV-033395,2020-07-01,Product_19,Electronics,Central,Customer_986,22,124.18,0.14,Debit Card,Salesperson_3,2349.49,1632.26,717.23,7,3,2020
INV-033402,2022-01-15,Product_12,Home & Garden,South,Customer_570,44,412.98,0.26,Credit Card,Salesperson_8,13446.63,8192.42,5254.21,1,1,2022
INV-027485,2018-08-02,Product_9,Sports,North,Customer_975,41,499.57,0.04,Debit Card,Salesperson_5,19663.08,10052.69,9610.39,8,3,2018
INV-036042,2021-05-19,Product_21,Electronics,West,Customer_572,22,499.4,0.04,PayPal,Salesperson_82,10547.33,5720.58,4826.75,5,2,2021
INV-004320,2018-03-23,Product_17,Sports,Central,Customer_190,33,427.96,0.03,PayPal,Salesperson_96,13699.0,8930.67,4768.33,3,1,2018
INV-010840,2021-10-08,Product_26,Sports,West,Customer_16,22,116.71,0.06,Credit Card,Salesperson_86,2413.56,1470.26,943.3,10,4,2021
INV-031211,2019-10-20,Product_14,Sports,South,Customer_806,12,446.26,0.24,Credit Card,Salesperson_38,4069.89,3028.35,1041.54,10,4,2019
INV-046975,2022-04-04,Product_41,Clothing,Central,Customer_617,32,460.56,0.28,Cash,Salesperson_67,10611.3,7833.38,2777.92,4,2,2022
INV-004791,2022-05-10,,Home & Garden,West,Customer_425,42,23.21,0.14,Debit Card,Salesperson_85,838.35,474.65,363.7,5,2,2022
INV-012452,2022-08-10,Product_48,Sports,South,Customer_220,18,288.75,0.18,Cash,Salesperson_37,4261.95,2359.01,1902.94,8,3,2022
INV-049653,2022-12-08,Product_47,Clothing,East,Customer_284,30,493.71,0.21,PayPal,Salesperson_64,11700.93,6182.53,5518.4,12,4,2022
INV-014457,2018-06-02,Product_10,Clothing,North,Customer_812,12,306.77,0.18,Bank Transfer,Salesperson_20,3018.62,1997.89,1020.73,6,2,2018
INV-021228,2021-10-24,Product_48,Home & Garden,East,Customer_934,32,205.04,0.02,Cash,Salesperson_9,6430.05,4333.53,2096.52,10,4,2021
INV-049207,2020-02-14,Product_5,Sports,North,Customer_401,16,197.73,0.11,Cash,Salesperson_72,2815.68,1500.58,1315.1,2,1,2020
INV-040644,2019-01-16,Product_20,Clothing,West,Customer_246,38,433.34,0.11,Credit Card,Salesperson_42,14655.56,10455.94,4199.62,1,1,2019
INV-028002,2022-02-02,Product_41,Sports,East,Customer_426,36,418.1,0.14,PayPal,Salesperson_30,12944.38,6556.17,6388.21,2,1,2022
INV-040279,2019-08-09,Product_25,Clothing,Central,Customer_800,30,221.71,0.29,PayPal,Salesperson_52,4722.42,4114.93,607.49,8,3,2019
INV-039838,2019-01-11,Product_19,Electronics,East,Customer_326,19,107.76,0.25,PayPal,Salesperson_56,1535.58,1170.34,365.24,1,1,2019
INV-023556,2019-01-22,Product_13,Clothing,North,Customer_938,16,311.32,0.25,PayPal,Salesperson_65,3735.84,2962.22,773.62,1,1,2019
INV-049392,2019-08-13,Product_35,Home & Garden,West,Customer_93,43,402.13,0.29,Debit Card,Salesperson_80,12277.03,9385.41,2891.62,8,3,2019
INV-027405,2019-11-08,Product_37,Home & Garden,,Customer_249,42,487.22,0.13,PayPal,Salesperson_40,17803.02,11835.55,5967.47,11,4,2019
INV-004813,2020-08-23,Product_6,Electronics,West,Customer_389,31,171.52,0.1,Debit Card,Salesperson_33,4785.41,2540.31,2245.1,8,3,2020
INV-006351,2022-05-13,Product_8,Sports,East,Customer_489,27,30.6,0.13,Credit Card,Salesperson_89,718.79,360.39,358.4,5,2,2022
INV-013882,2020-12-14,Product_31,,North,Customer_550,41,159.96,0.23,Cash,Salesperson_65,5049.94,4057.29,992.65,12,4,2020
INV-047000,2018-01-03,Product_43,Toys,West,Customer_39,11,457.61,0.18,Cash,Salesperson_85,4127.64,2273.12,1854.52,1,1,2018
INV-024506,2019-12-22,Product_22,Home & Garden,North,Customer_804,31,354.32,0.13,PayPal,Salesperson_10,9556.01,5903.5,3652.51,12,4,2019
INV-000773,2022-02-03,Product_5,Toys,North,Customer_36,29,136.03,0.13,Credit Card,Salesperson_64,3432.04,1792.22,1639.82,2,1,2022
INV-040694,2020-02-13,Product_41,Toys,West,Customer_682,3,419.22,0.01,Credit Card,Salesperson_31,1245.08,712.02,533.06,2,1,2020
INV-045455,2020-12-18,Product_11,Home & Garden,North,Customer_180,34,277.52,0.01,Cash,Salesperson_41,9341.32,4374.58,4966.74,12,4,2020
INV-011068,2022-11-08,Product_37,Home & Garden,North,Customer_671,35,119.38,0.15,Debit Card,Salesperson_23,3551.56,1852.75,1698.81,11,4,2022
INV-008524,2021-05-20,Product_3,Clothing,East,Customer_778,15,315.59,0.27,Credit Card,Salesperson_33,3455.71,2203.99,1251.72,5,2,2021
INV-035618,2021-05-29,Product_14,Electronics,North,Customer_937,9,83.44,0.05,Cash,Salesperson_41,713.41,448.26,265.15,5,2,2021
INV-013607,2018-01-27,Product_28,Sports,East,Customer_37,1,320.16,0.21,Cash,Salesperson_23,252.93,217.09,35.84,1,1,2018
INV-009705,2022-05-29,Product_21,Home & Garden,Central,Customer_455,8,240.46,0.02,Credit Card,Salesperson_94,1885.21,974.17,911.04,5,2,2022
INV-020134,2018-10-29,Product_28,Electronics,Central,Customer_656,37,45.75,0.27,PayPal,Salesperson_18,1235.71,1114.01,121.7,10,4,2018
INV-014519,2018-02-18,Product_36,Toys,West,Customer_567,36,264.17,0.11,Bank Transfer,Salesperson_85,8464.01,3906.3,4557.71,2,1,2018
INV-015914,2019-06-17,Product_44,Home & Garden,West,Customer_815,41,84.48,0.28,Cash,Salesperson_55,2493.85,1683.19,810.66,6,2,2019
INV-045090,2020-07-30,Product_27,Sports,South,Customer_781,6,186.31,0.05,Credit Card,Salesperson_40,1061.97,484.21,577.76,7,3,2020
INV-021950,2021-10-25,Product_21,Home & Garden,West,Customer_22,15,177.23,0.19,Bank Transfer,Salesperson_90,2153.34,1379.84,773.5,10,4,2021
INV-008260,2021-07-04,Product_11,Toys,West,Customer_112,45,349.07,0.09,PayPal,Salesperson_55,14294.42,7693.44,6600.98,7,3,2021
INV-045617,2019-12-01,Product_28,Toys,East,Customer_771,18,273.51,0.25,PayPal,Salesperson_25,3692.38,2219.47,1472.91,12,4,2019
INV-001290,2020-05-30,Product_38,Sports,Central,Customer_330,24,372.29,0.07,Cash,Salesperson_9,8309.51,5889.62,2419.89,5,2,2020
INV-045938,2021-07-02,Product_36,Toys,North,Customer_519,13,168.68,0.07,,Salesperson_27,2039.34,1430.32,609.02,7,3,2021
INV-003534,2022-01-18,Product_45,Electronics,Central,Customer_707,37,231.77,0.09,Credit Card,Salesperson_53,7803.7,4099.27,3704.43,1,1,2022
INV-044427,2019-09-27,Product_43,Home & Garden,Central,Customer_519,39,188.72,0.2,Cash,Salesperson_30,5888.06,4967.2,920.86,9,3,2019
INV-018296,2021-08-24,Product_20,Clothing,Central,Customer_180,26,26.58,0.23,Cash,Salesperson_46,532.13,355.89,176.24,8,3,2021
INV-030091,2020-10-16,Product_10,Electronics,West,Customer_436,39,461.45,0.26,Cash,Salesperson_38,13317.45,10292.8,3024.65,10,4,2020
INV-021219,2021-11-23,Product_44,Home & Garden,West,Customer_788,12,208.1,0.26,Debit Card,Salesperson_34,1847.93,1080.46,767.47,11,4,2021
INV-038936,2021-03-30,Product_3,Electronics,West,Customer_83,36,242.29,0.13,PayPal,Salesperson_10,7588.52,5574.4,2014.12,3,1,2021
INV-019459,2021-06-03,Product_9,Home & Garden,East,Customer_374,33,161.77,0.25,Credit Card,Salesperson_25,4003.81,2224.41,1779.4,6,2,2021
INV-010582,2018-08-13,Product_47,Toys,East,Customer_84,28,157.04,0.21,Debit Card,Salesperson_10,3473.72,2311.47,1162.25,8,3,2018
INV-021389,2018-02-11,Product_6,Home & Garden,North,Customer_394,20,212.64,0.26,PayPal,Salesperson_98,3147.07,2198.06,949.01,2,1,2018
INV-043456,2021-08-08,Product_36,Home & Garden,East,Customer_360,40,382.21,0.23,Credit Card,Salesperson_96,11772.07,10387.0,1385.07,8,3,2021
INV-015595,2018-11-15,Product_16,Sports,West,Customer_913,23,390.12,0.28,Debit Card,Salesperson_61,6460.39,4493.24,1967.15,11,4,2018
INV-021525,2019-05-08,Product_15,Toys,West,Customer_470,32,316.4,0.26,Bank Transfer,Salesperson_32,7492.35,6707.57,784.78,5,2,2019
INV-007564,2018-08-09,Product_44,Electronics,Central,Customer_762,18,424.63,0.16,PayPal,Salesperson_9,6420.41,4075.99,2344.42,8,3,2018
INV-048680,2018-05-17,Product_10,Toys,East,Customer_3,5,412.3,0.18,PayPal,Salesperson_42,1690.43,1399.04,291.39,5,2,2018
INV-028998,2019-03-20,Product_12,Electronics,West,Customer_150,17,253.09,0.15,PayPal,Salesperson_85,3657.15,2615.99,1041.16,3,1,2019
INV-034393,2019-01-25,Product_38,Electronics,West,Customer_594,30,267.88,0.14,PayPal,Salesperson_92,6911.3,5478.18,1433.12,1,1,2019
INV-004428,2020-07-13,Product_28,Home & Garden,South,Customer_789,24,185.38,0.08,Cash,Salesperson_4,4093.19,2060.79,2032.4,7,3,2020
INV-018171,2019-02-23,Product_24,Sports,South,Customer_221,13,313.29,0.12,Cash,Salesperson_19,3584.04,1789.55,1794.49,2,1,2019
INV-034927,2022-04-12,Product_46,Sports,West,Customer_231,41,383.2,0.21,PayPal,Salesperson_94,12411.85,8808.58,3603.27,4,2,2022
INV-043838,2022-08-06,Product_8,Toys,South,Customer_38,28,136.8,0.27,PayPal,Salesperson_3,2796.19,1850.85,945.34,8,3,2022
INV-000508,2022-01-15,Product_7,Home & Garden,North,Customer_292,22,236.37,0.13,Cash,Salesperson_8,4524.12,3587.45,936.67,1,1,2022
INV-010922,2021-12-06,Product_41,Clothing,Central,Customer_721,14,277.76,0.26,Debit Card,Salesperson_63,2877.59,1869.78,1007.81,12,4,2021
INV-014764,2020-08-22,Product_9,Electronics,South,Customer_920,29,310.94,0.29,Credit Card,Salesperson_54,6402.25,3894.86,2507.39,8,3,2020
INV-025569,2018-10-10,Product_24,Electronics,East,Customer_798,21,200.02,0.07,Debit Card,Salesperson_15,3906.39,2137.16,1769.23,10,4,2018
INV-018959,2022-03-06,Product_14,Sports,Central,Customer_26,31,137.32,0.01,Cash,Salesperson_77,4214.35,2172.55,2041.8,3,1,2022
INV-026455,2018-01-06,Product_25,Electronics,Central,Customer_67,10,66.57,0.05,Bank Transfer,Salesperson_17,632.41,431.69,200.72,1,1,2018
INV-009580,2018-05-31,Product_12,Home & Garden,West,Customer_401,15,449.99,0.15,Credit Card,Salesperson_53,5737.37,4673.84,1063.53,5,2,2018
INV-040024,2021-05-03,Product_18,Sports,Central,Customer_347,23,201.26,0.21,Cash,Salesperson_10,3656.89,2669.93,986.96,5,2,2021
INV-024624,2021-09-26,Product_28,Sports,Central,Customer_31,44,467.77,0.08,PayPal,Salesperson_92,18935.33,10525.99,8409.34,9,3,2021
INV-032440,2020-11-06,Product_38,Clothing,North,Customer_398,28,274.73,0.2,Bank Transfer,Salesperson_93,6153.95,3734.22,2419.73,11,4,2020
INV-012800,2019-03-25,Product_8,Toys,West,Customer_40,39,176.78,0.23,PayPal,Salesperson_15,5308.7,3873.88,1434.82,3,1,2019
INV-037920,2020-03-14,Product_43,Clothing,Central,Customer_733,29,289.38,0.01,Cash,Salesperson_50,8308.1,4008.8,4299.3,3,1,2020
INV-007476,2019-02-01,Product_47,Clothing,Central,Customer_916,27,383.16,0.01,Cash,Salesperson_43,10241.87,4843.0,5398.87,2,1,2019
INV-047756,2019-01-16,Product_10,Electronics,South,Customer_378,22,22.01,0.13,Credit Card,Salesperson_79,421.27,294.7,126.57,1,1,2019
INV-015519,2018-07-20,Product_32,Toys,West,Customer_923,18,270.14,0.21,Credit Card,Salesperson_97,3841.39,2993.63,847.76,7,3,2018
INV-032543,2018-11-26,Product_34,Electronics,North,Customer_283,3,252.2,0.22,Bank Transfer,Salesperson_22,590.15,382.39,207.76,11,4,2018
INV-007634,2020-07-31,,Toys,North,Customer_626,48,192.09,0.15,Credit Card,Salesperson_15,7837.27,5150.02,2687.25,7,3,2020
INV-022164,2019-10-30,Product_43,Toys,South,Customer_913,15,323.83,0.24,Bank Transfer,Salesperson_22,3691.66,3179.92,511.74,10,4,2019
INV-023784,2022-11-30,Product_4,Sports,East,Customer_237,15,34.65,0.09,Credit Card,Salesperson_68,472.97,257.25,215.72,11,4,2022
INV-028890,2021-10-29,Product_18,Clothing,North,Customer_615,46,215.44,0.1,Bank Transfer,Salesperson_3,8919.22,5709.58,3209.64,10,4,2021
INV-040848,2019-08-31,Product_1,Toys,North,Customer_426,38,291.82,0.03,Cash,Salesperson_21,10756.49,6750.81,4005.68,8,3,2019
INV-042034,2018-06-25,Product_12,Toys,South,Customer_179,39,302.61,0.14,PayPal,Salesperson_9,10149.54,7401.61,2747.93,6,2,2018
INV-017834,2018-09-30,Product_16,Toys,North,Customer_746,26,231.77,0.26,PayPal,Salesperson_27,4459.25,4068.1,391.15,9,3,2018
INV-038758,2020-04-11,Product_31,Toys,Central,Customer_824,20,66.14,0.19,PayPal,Salesperson_50,1071.47,773.74,297.73,4,2,2020
INV-040177,2022-07-28,Product_21,Clothing,Central,Customer_226,23,151.91,0.23,Debit Card,Salesperson_87,2690.33,2433.43,256.9,7,3,2022
INV-044886,2020-09-15,Product_22,Home & Garden,East,Customer_579,11,216.5,0.01,Debit Card,Salesperson_60,2357.68,1111.88,1245.8,9,3,2020
INV-025913,2021-03-02,Product_16,Sports,West,Customer_860,34,493.87,0.01,Bank Transfer,Salesperson_20,16623.66,11445.27,5178.39,3,1,2021
INV-048541,2021-03-04,Product_45,,Central,Customer_731,7,163.46,0.04,PayPal,Salesperson_46,1098.45,463.96,634.49,3,1,2021
INV-001781,2022-01-16,Product_20,Toys,South,Customer_715,1,315.51,0.16,Credit Card,Salesperson_90,265.03,210.03,55.0,1,1,2022
INV-039174,2021-08-29,Product_16,Toys,Central,Customer_175,1,357.86,0.06,,Salesperson_29,336.39,211.64,124.75,8,3,2021
INV-042696,2021-03-28,Product_36,Sports,South,Customer_264,27,91.82,0.14,Credit Card,Salesperson_6,2132.06,1644.13,487.93,3,1,2021
INV-048986,2020-08-18,Product_49,Home & Garden,North,Customer_328,23,173.46,0.22,Credit Card,Salesperson_93,3111.87,2419.85,692.02,8,3,2020
INV-032076,2018-09-09,Product_36,Home & Garden,North,Customer_847,25,385.02,0.08,Debit Card,Salesperson_17,8855.46,5819.34,3036.12,9,3,2018
INV-032807,2021-02-21,Product_24,Electronics,Central,Customer_361,49,302.05,0.28,Cash,Salesperson_62,10656.32,6110.24,4546.08,2,1,2021
INV-030380,2019-11-05,Product_37,Sports,East,Customer_852,47,188.89,0.13,Credit Card,Salesperson_37,7723.71,3762.14,3961.57,11,4,2019
INV-021333,2020-12-08,Product_4,Electronics,South,Customer_485,42,50.73,0.0,Debit Card,Salesperson_83,2130.66,1150.82,979.84,12,4,2020
INV-037647,2020-01-29,Product_11,Electronics,South,Customer_695,38,206.13,0.19,Debit Card,Salesperson_42,6344.68,4766.22,1578.46,1,1,2020
INV-037191,2018-07-28,Product_50,Toys,East,Customer_619,12,224.07,0.29,Debit Card,Salesperson_79,1909.08,1567.73,341.35,7,3,2018
INV-036025,2021-10-26,Product_47,Home & Garden,East,Customer_788,35,265.64,0.27,PayPal,Salesperson_11,6787.1,5162.86,1624.24,10,4,2021
INV-009271,2019-05-23,Product_49,Home & Garden,East,Customer_764,20,333.09,0.01,PayPal,Salesperson_63,6595.18,3810.32,2784.86,5,2,2019
INV-026391,2022-04-06,Product_13,Clothing,West,Customer_967,20,257.34,0.17,Bank Transfer,Salesperson_72,4271.84,3547.76,724.08,4,2,2022
INV-033663,2021-02-12,Product_16,Electronics,North,Customer_575,36,251.88,0.02,Debit Card,Salesperson_19,8886.33,3942.66,4943.67,2,1,2021
INV-040716,2018-07-20,Product_47,Clothing,West,Customer_954,19,199.76,0.14,Bank Transfer,Salesperson_5,3264.08,2399.93,864.15,7,3,2018
INV-023442,2020-08-13,Product_13,Electronics,West,Customer_158,10,109.25,0.1,PayPal,Salesperson_7,983.25,543.13,440.12,8,3,2020
INV-031297,2018-05-12,Product_6,Sports,North,Customer_550,2,430.69,0.01,Credit Card,Salesperson_27,852.77,444.14,408.63,5,2,2018
INV-016590,2021-12-04,Product_10,Clothing,South,Customer_721,45,495.31,0.16,Debit Card,Salesperson_79,18722.72,10078.41,8644.31,12,4,2021
INV-040128,2018-01-20,Product_10,Sports,East,Customer_953,10,250.57,0.26,Debit Card,Salesperson_65,1854.22,1417.2,437.02,1,1,2018
INV-031597,2021-01-06,Product_25,Toys,North,Customer_170,46,191.15,0.2,Cash,Salesperson_89,7034.32,3745.96,3288.36,1,1,2021
INV-037313,2022-04-11,Product_28,Clothing,East,Customer_420,12,21.85,0.28,Cash,Salesperson_65,188.78,163.64,25.14,4,2,2022
INV-019856,2019-08-27,Product_34,Sports,West,Customer_931,45,279.82,0.15,Credit Card,Salesperson_21,10703.12,8515.69,2187.43,8,3,2019
INV-027523,2022-05-10,Product_6,Home & Garden,West,Customer_81,49,317.64,0.29,Bank Transfer,Salesperson_68,11050.7,7324.92,3725.78,5,2,2022
INV-036647,2020-02-05,Product_14,Clothing,Central,Customer_472,11,109.02,0.12,Bank Transfer,Salesperson_12,1055.31,569.24,486.07,2,1,2020
INV-014635,2019-01-05,Product_20,Sports,West,Customer_399,12,444.75,0.15,Cash,Salesperson_28,4536.45,3371.11,1165.34,1,1,2019
INV-044172,2020-07-30,Product_30,Electronics,East,Customer_866,2,310.71,0.25,Credit Card,Salesperson_11,466.06,337.66,128.4,7,3,2020
INV-018781,2022-09-18,Product_39,Electronics,North,Customer_687,36,206.52,0.02,Cash,Salesperson_40,7286.03,5106.54,2179.49,9,3,2022
INV-049001,2022-08-19,Product_34,Toys,Central,Customer_804,43,231.39,0.08,Bank Transfer,Salesperson_28,9153.79,5487.18,3666.61,8,3,2022
INV-027638,2020-06-05,Product_49,Electronics,North,Customer_102,1,188.53,0.07,PayPal,Salesperson_62,175.33,88.5,86.83,6,2,2020
INV-026153,2021-07-12,Product_28,Home & Garden,West,Customer_362,24,202.54,0.25,Cash,Salesperson_10,3645.72,2345.97,1299.75,7,3,2021
INV-048801,2020-11-29,Product_48,Clothing,West,Customer_26,45,104.89,0.24,Cash,Salesperson_28,3587.24,2320.69,1266.55,11,4,2020
INV-025041,2020-01-27,Product_25,Clothing,South,Customer_5,14,62.84,0.22,Bank Transfer,Salesperson_6,686.21,534.64,151.57,1,1,2020
INV-045504,2022-03-16,Product_13,Home & Garden,East,Customer_532,24,150.28,0.25,Credit Card,Salesperson_6,2705.04,2272.73,432.31,3,1,2022
INV-034480,2021-07-01,Product_2,Home & Garden,Central,Customer_447,8,307.5,0.15,Bank Transfer,Salesperson_23,2091.0,1413.1,677.9,7,3,2021
INV-026424,2022-09-10,Product_30,Home & Garden,East,Customer_302,40,109.14,0.27,Bank Transfer,Salesperson_71,3186.89,2147.41,1039.48,9,3,2022
INV-033308,2022-07-29,Product_9,Toys,South,Customer_415,28,309.28,0.18,Cash,Salesperson_82,7101.07,5058.24,2042.83,7,3,2022
INV-003840,2020-09-10,Product_6,Toys,Central,Customer_657,12,259.71,0.26,Debit Card,Salesperson_46,2306.22,1460.11,846.11,9,3,2020
INV-009474,2020-09-14,Product_8,Sports,North,Customer_717,20,363.12,0.02,PayPal,Salesperson_83,7117.15,4504.03,2613.12,9,3,2020
INV-044704,2020-04-27,Product_30,Toys,East,Customer_164,33,15.69,0.26,Bank Transfer,Salesperson_20,383.15,224.79,158.36,4,2,2020
INV-006173,2022-12-25,Product_37,Electronics,South,Customer_796,11,111.91,0.28,Credit Card,Salesperson_64,886.33,651.56,234.77,12,4,2022
INV-025846,2020-06-07,Product_42,Toys,East,Customer_209,40,278.73,0.2,Debit Card,Salesperson_2,8919.36,6465.53,2453.83,6,2,2020
INV-039009,2020-11-15,Product_14,Clothing,Central,Customer_284,2,486.39,0.14,Debit Card,Salesperson_33,836.59,542.1,294.49,11,4,2020
INV-004321,2021-09-02,Product_16,Sports,Central,Customer_514,44,67.04,0.04,PayPal,Salesperson_46,2831.77,1557.76,1274.01,9,3,2021
INV-017312,2020-09-18,Product_48,Home & Garden,South,Customer_402,4,402.44,0.04,Cash,Salesperson_83,1545.37,704.31,841.06,9,3,2020
INV-043430,2019-11-03,Product_1,Home & Garden,West,Customer_231,5,19.95,0.09,Cash,Salesperson_8,90.77,42.85,47.92,11,4,2019
INV-000085,2020-08-17,Product_12,Home & Garden,South,Customer_990,2,296.99,0.03,Cash,Salesperson_31,576.16,298.31,277.85,8,3,2020
INV-016142,2018-08-29,Product_34,Toys,South,Customer_535,35,487.77,0.15,Bank Transfer,Salesperson_61,14511.16,8593.95,5917.21,8,3,2018
INV-009186,2021-10-10,Product_18,Home & Garden,Central,Customer_600,19,232.25,0.07,PayPal,Salesperson_93,4103.86,2714.24,1389.62,10,4,2021
INV-033346,2020-04-26,Product_24,Clothing,East,Customer_371,18,381.4,0.24,Credit Card,Salesperson_37,5217.55,3957.55,1260.0,4,2,2020
INV-020851,2018-10-02,Product_30,Home & Garden,North,Customer_871,16,350.44,0.09,PayPal,Salesperson_22,5102.41,2329.03,2773.38,10,4,2018
