area_sqft,bedrooms,bathrooms,location,price
1830,2.0,1.0,Gulberg,46237389.83
1890,2.0,1.0,Model Town,42693014.47
5235,7.0,7.0,PECHS,124057548.1
1032,1.0,1.0,DHA,43284137.09
1726,2.0,1.0,PECHS,39769684.23
1292,1.0,2.0,DHA,44431065.62
3853,5.0,5.0,Clifton,116426915.71
4451,7.0,8.0,Bahria Town,127132732.42
3859,6.0,6.0,Gulberg,108276415.85
2950,4.0,5.0,Gulberg,72453464.68
1829,3.0,2.0,Gulberg,54639753.0
3569,4.0,5.0,Gulberg,103881126.71
2578,4.0,4.0,DHA,97435627.13
4080,6.0,5.0,DHA,154427544.54
4247,5.0,4.0,Clifton,131867638.74
4485,4.0,5.0,Gulshan,81870006.99
4053,5.0,4.0,North Nazimabad,63426604.78
2193,1.0,2.0,Gulberg,52827320.63
2883,4.0,4.0,North Nazimabad,45287250.11
3184,5.0,4.0,Bahria Town,98704780.85
2068,2.0,1.0,PECHS,48530331.5
3026,3.0,2.0,North Nazimabad,46114769.59
3881,5.0,6.0,North Nazimabad,63183206.2
1138,2.0,1.0,PECHS,25005843.84
2626,3.0,3.0,DHA,86846633.43
852,1.0,1.0,Bahria Town,25726754.47
1513,2.0,2.0,Model Town,41614761.24
3249,5.0,5.0,Gulshan,61729468.79
853,1.0,2.0,Clifton,28908841.38
4629,6.0,6.0,PECHS,108212799.77
2979,4.0,5.0,Clifton,111817636.39
2837,4.0,3.0,Model Town,74134324.2
3838,5.0,6.0,Model Town,102099324.72
2061,4.0,5.0,DHA,73927520.65
2195,4.0,4.0,North Nazimabad,37512529.67
2479,4.0,4.0,Clifton,96845950.51
2273,3.0,2.0,Model Town,57976836.47
3436,5.0,6.0,Clifton,127940522.68
4701,6.0,7.0,Gulberg,135540670.47
3026,5.0,4.0,Model Town,80053798.63
3439,5.0,4.0,PECHS,73221337.67
3849,4.0,3.0,Clifton,119017401.11
3936,,3.0,Gulshan,63404506.76
4364,5.0,5.0,Model Town,102804708.5
2799,3.0,4.0,North Nazimabad,41214898.91
3228,4.0,3.0,Gulshan,59413152.36
2510,3.0,2.0,Clifton,73709368.87
3108,4.0,3.0,North Nazimabad,52182024.15
2412,2.0,1.0,Bahria Town,81292084.45
2087,3.0,2.0,Clifton,70560184.4
2140,3.0,2.0,PECHS,50756497.22
2933,3.0,3.0,PECHS,65052870.32
5676,8.0,9.0,DHA,202831173.45
1619,1.0,2.0,Model Town,37241412.74
1981,3.0,4.0,DHA,71797146.19
5583,7.0,6.0,PECHS,120152487.09
4232,6.0,5.0,Gulshan,81268543.45
2100,1.0,1.0,Clifton,68965116.19
4289,4.0,4.0,Gulberg,122970936.66
1721,2.0,2.0,Gulberg,49474632.94
1260,3.0,2.0,PECHS,26014347.07
3974,5.0,5.0,Clifton,148260584.92
3990,6.0,5.0,DHA,135440837.04
1256,1.0,2.0,Gulberg,32801031.1
548,1.0,1.0,PECHS,12345194.37
3749,4.0,5.0,Model Town,79742853.32
1604,2.0,1.0,Bahria Town,50217224.61
1167,2.0,1.0,North Nazimabad,19759413.59
4126,5.0,5.0,Gulberg,122456404.36
2689,2.0,1.0,Gulshan,41907112.63
1864,2.0,,PECHS,43104319.03
3073,4.0,3.0,Clifton,105987751.17
2561,3.0,3.0,Model Town,59361914.27
2260,4.0,3.0,Model Town,65679068.15
3898,5.0,4.0,DHA,152857213.75
3990,3.0,3.0,Model Town,93069186.97
1536,2.0,1.0,Model Town,40290311.63
3193,4.0,3.0,Bahria Town,95182504.88
2124,3.0,4.0,Gulberg,60099834.74
2774,3.0,2.0,Model Town,71525704.23
1712,2.0,1.0,Gulshan,32075422.69
2528,3.0,4.0,Clifton,78623482.66
3914,5.0,5.0,North Nazimabad,51359484.71
2191,1.0,1.0,DHA,77226545.78
4383,4.0,3.0,Bahria Town,141253674.59
2754,2.0,2.0,DHA,106849775.43
1626,3.0,3.0,North Nazimabad,27978107.75
1378,1.0,2.0,Clifton,46820381.83
3636,5.0,4.0,Bahria Town,115569165.32
4289,,7.0,PECHS,100259260.56
4345,6.0,7.0,Model Town,116817209.0
3516,3.0,,Model Town,93398792.2
4077,5.0,4.0,Clifton,130901548.3
3627,4.0,5.0,Bahria Town,96594445.6
4378,,7.0,Clifton,157906190.49
3035,5.0,4.0,Clifton,107491437.86
1769,2.0,2.0,North Nazimabad,25782358.68
2595,4.0,4.0,Bahria Town,82144664.96
1435,1.0,1.0,Gulberg,35439394.19
3528,4.0,5.0,Gulberg,102035513.75
2855,5.0,4.0,Gulshan,53848970.59
915,1.0,1.0,Bahria Town,29251318.01
4285,6.0,5.0,Clifton,148027492.3
1476,2.0,2.0,Gulberg,41814048.87
1768,2.0,1.0,PECHS,41270587.68
1064,2.0,2.0,Gulberg,29747685.19
4157,5.0,6.0,Model Town,110630372.99
2311,3.0,3.0,Clifton,80231765.49
2256,3.0,3.0,Gulshan,41026740.35
3173,4.0,5.0,Model Town,83640833.63
896,1.0,1.0,DHA,30289596.4
5329,6.0,7.0,DHA,210060349.11
2462,2.0,1.0,PECHS,48330313.87
2475,5.0,5.0,Clifton,75323382.69
5288,6.0,7.0,Clifton,182305810.51
2066,3.0,2.0,Clifton,78527877.35
2812,5.0,5.0,DHA,91163139.71
1928,3.0,4.0,North Nazimabad,34216698.74
1682,2.0,2.0,Bahria Town,44908047.39
2014,2.0,2.0,Model Town,48712688.01
2027,3.0,4.0,Clifton,80090879.58
2953,4.0,5.0,DHA,104835918.65
1417,2.0,3.0,North Nazimabad,21863173.97
2045,2.0,1.0,Model Town,44872917.93
1253,2.0,1.0,Clifton,38204104.28
1389,2.0,1.0,Clifton,46255565.56
1614,3.0,2.0,PECHS,41334822.17
4521,5.0,6.0,Gulberg,130048264.61
4100,6.0,7.0,Bahria Town,106995773.62
3308,4.0,5.0,Bahria Town,86517369.28
1994,3.0,4.0,Gulshan,31227798.28
4507,6.0,,PECHS,109485631.32
1390,1.0,2.0,Bahria Town,42047071.03
2316,3.0,2.0,Bahria Town,64442177.67
4191,6.0,7.0,PECHS,100532247.08
3487,5.0,6.0,PECHS,71073583.25
1815,2.0,1.0,DHA,65198141.8
3503,4.0,4.0,Bahria Town,113856822.53
4066,5.0,5.0,Model Town,105673993.08
3192,3.0,2.0,Gulshan,58854816.91
4327,5.0,4.0,Clifton,145769446.84
2482,3.0,2.0,Gulberg,65967181.6
3114,3.0,4.0,Model Town,69565134.82
3165,4.0,5.0,Bahria Town,94126700.29
644,1.0,1.0,DHA,23930835.63
5189,6.0,6.0,Clifton,173753255.25
698,1.0,2.0,Model Town,16105820.22
2477,2.0,2.0,Clifton,74243612.21
3025,4.0,3.0,DHA,125451092.98
3377,4.0,5.0,North Nazimabad,54913059.12
1969,1.0,2.0,North Nazimabad,34522560.44
1104,3.0,3.0,PECHS,25680614.77
2946,4.0,3.0,Bahria Town,75506867.36
3140,5.0,4.0,Gulshan,57146982.1
4291,6.0,6.0,Gulshan,82140255.55
3960,5.0,6.0,North Nazimabad,57553033.11
2806,5.0,6.0,PECHS,67619739.08
2289,3.0,3.0,Clifton,76368971.23
2882,3.0,2.0,Gulberg,75637205.78
942,2.0,2.0,DHA,33360055.13
2112,1.0,2.0,DHA,68168885.08
2233,3.0,2.0,Bahria Town,72446758.89
5474,8.0,7.0,North Nazimabad,87985410.16
5278,6.0,6.0,North Nazimabad,74904537.98
908,1.0,1.0,Bahria Town,27165043.28
2186,2.0,2.0,Model Town,60162717.73
5052,4.0,3.0,Bahria Town,167777123.86
2789,5.0,6.0,DHA,105068080.0
1625,2.0,1.0,Bahria Town,52422783.75
2116,2.0,3.0,Gulberg,57710321.07
3523,5.0,5.0,DHA,126587452.22
2262,3.0,3.0,Gulshan,47276495.34
2463,3.0,3.0,Model Town,63797001.41
4315,6.0,6.0,DHA,150754776.31
2407,3.0,4.0,North Nazimabad,39848529.73
5332,8.0,9.0,Model Town,150607273.84
4163,5.0,4.0,North Nazimabad,74143062.73
1854,3.0,3.0,PECHS,41769665.98
3086,3.0,2.0,Clifton,114004199.88
5008,7.0,8.0,PECHS,97062483.02
1202,2.0,1.0,DHA,49214465.14
4113,5.0,4.0,DHA,132581598.34
1996,3.0,4.0,PECHS,48258448.75
1349,2.0,1.0,Model Town,37327266.68
1221,2.0,1.0,Clifton,40635941.35
1957,2.0,2.0,North Nazimabad,32949632.83
2973,3.0,2.0,Model Town,65286518.44
2448,3.0,3.0,PECHS,54146857.48
2670,4.0,3.0,PECHS,64060844.15
1478,1.0,2.0,Clifton,44019913.95
2935,,3.0,North Nazimabad,48519710.08
1269,2.0,2.0,DHA,46373533.32
4557,5.0,6.0,Bahria Town,145546718.87
4103,4.0,3.0,Bahria Town,119790970.6
3264,4.0,3.0,DHA,113103582.26
1086,2.0,1.0,Model Town,26665025.71
643,1.0,1.0,Gulberg,17021578.73
2188,3.0,3.0,North Nazimabad,38243553.48
1488,2.0,3.0,DHA,58742162.93
3290,6.0,5.0,Model Town,76008952.45
2753,3.0,4.0,Clifton,100019840.89
871,1.0,1.0,Clifton,28062932.21
3478,4.0,3.0,North Nazimabad,45598354.28
3715,,5.0,Gulshan,63476181.54
2178,4.0,3.0,PECHS,48319081.68
3123,5.0,4.0,Gulberg,83378966.55
4469,7.0,6.0,North Nazimabad,66015080.86
1777,2.0,3.0,Model Town,43109533.94
1807,1.0,2.0,DHA,69982383.06
2172,2.0,2.0,PECHS,49176855.65
3911,4.0,5.0,Model Town,105817875.18
2087,3.0,4.0,Gulberg,62342988.66
3080,5.0,6.0,Gulberg,79937084.13
2137,3.0,3.0,Gulshan,41255521.59
1588,2.0,1.0,Bahria Town,45117147.59
5659,5.0,5.0,North Nazimabad,94436650.77
5340,7.0,6.0,Bahria Town,148613931.36
1736,3.0,2.0,Gulshan,35153913.61
2254,3.0,3.0,Gulshan,40280423.86
3224,,,Bahria Town,97721452.99
2206,2.0,2.0,Model Town,49297459.34
3497,4.0,3.0,Gulshan,58600454.61
1548,1.0,1.0,DHA,60574698.63
2190,4.0,5.0,Gulshan,43265831.32
3183,3.0,3.0,Clifton,100763946.41
4076,4.0,3.0,Clifton,126025580.0
2891,4.0,5.0,Gulberg,84880304.12
1514,3.0,3.0,Bahria Town,43502792.95
2593,3.0,2.0,Gulberg,62687881.35
1716,2.0,3.0,PECHS,41861723.94
3714,5.0,5.0,Clifton,133893666.42
4737,7.0,6.0,Gulshan,85441778.78
5211,5.0,6.0,DHA,181843033.8
1109,1.0,1.0,Bahria Town,33694343.32
1987,2.0,2.0,Clifton,69594120.2
2086,3.0,3.0,PECHS,50606058.14
884,1.0,2.0,Clifton,31767168.14
1880,1.0,1.0,PECHS,44257116.03
1609,3.0,2.0,DHA,60533537.13
2473,3.0,4.0,Gulshan,46502012.54
1508,2.0,2.0,Model Town,36875428.19
3489,5.0,4.0,DHA,117877338.87
838,1.0,1.0,Clifton,26335722.7
2395,4.0,5.0,Clifton,82661362.2
2004,2.0,2.0,DHA,66492608.09
1773,2.0,3.0,Gulberg,47883092.32
3832,5.0,6.0,DHA,139177096.61
1830,2.0,2.0,Clifton,59164716.34
3515,4.0,4.0,Model Town,83354485.52
3304,4.0,5.0,DHA,131624982.31
1692,2.0,3.0,Gulshan,30418808.31
4835,6.0,6.0,Clifton,162342886.6
3387,4.0,3.0,Clifton,112503656.2
2659,4.0,4.0,Clifton,103950420.18
4688,7.0,8.0,Model Town,110348722.16
2787,5.0,5.0,Gulshan,53610205.92
2016,3.0,4.0,PECHS,52398964.27
3007,3.0,2.0,Clifton,101072152.26
2436,4.0,3.0,DHA,84542426.77
2594,3.0,4.0,DHA,104379380.58
2645,4.0,5.0,Model Town,71681063.14
3371,5.0,4.0,Clifton,99094693.1
1738,1.0,1.0,DHA,60234635.29
1740,3.0,3.0,Bahria Town,50049686.04
4753,7.0,6.0,Gulberg,125171646.79
5466,8.0,7.0,North Nazimabad,86220112.68
4445,5.0,4.0,DHA,175157070.76
3108,4.0,4.0,Bahria Town,102538202.62
3771,6.0,6.0,PECHS,81656278.66
949,1.0,1.0,PECHS,18408489.41
1571,1.0,1.0,Model Town,35784236.29
3997,6.0,5.0,Model Town,103647974.06
2145,2.0,3.0,DHA,85535144.99
3901,5.0,4.0,North Nazimabad,62298038.34
1245,3.0,2.0,DHA,46316584.73
4064,5.0,4.0,Gulshan,71995570.21
1781,,4.0,Gulberg,44821512.34
3794,5.0,5.0,PECHS,81645114.8
2137,1.0,2.0,Clifton,64270808.64
1592,1.0,2.0,PECHS,34377565.63
2368,2.0,3.0,DHA,92223003.33
2058,4.0,3.0,Clifton,62419264.5
2400,4.0,4.0,Model Town,57214102.43
3710,5.0,6.0,Gulshan,67711672.76
1846,3.0,2.0,Clifton,68769677.1
4097,3.0,2.0,PECHS,88400956.53
2548,3.0,4.0,Model Town,65071662.26
1719,2.0,3.0,North Nazimabad,30092624.12
1227,1.0,2.0,DHA,49287870.78
1053,1.0,2.0,Bahria Town,32508682.09
3469,4.0,4.0,Gulberg,108139720.32
2547,3.0,2.0,North Nazimabad,43186692.63
2125,4.0,4.0,Model Town,52000719.71
1680,2.0,1.0,Gulberg,48568733.28
2880,4.0,4.0,Clifton,98338066.71
1702,1.0,1.0,North Nazimabad,26726086.31
2804,3.0,3.0,Gulshan,52445875.8
1899,2.0,2.0,DHA,67501133.42
1917,3.0,4.0,Clifton,74548629.02
3735,4.0,4.0,Gulshan,68376969.15
1876,3.0,2.0,Gulshan,35350625.16
3225,5.0,6.0,PECHS,79526315.6
3920,5.0,4.0,Bahria Town,105089188.61
3857,7.0,6.0,Gulshan,81554025.81
2834,3.0,,PECHS,63588141.3
4612,,6.0,PECHS,108036307.03
4230,6.0,6.0,Model Town,102136235.4
3264,4.0,5.0,Bahria Town,112206347.99
3088,3.0,2.0,Model Town,84369774.35
4822,7.0,6.0,Gulberg,134136996.5
1593,2.0,1.0,Bahria Town,48490298.16
1556,3.0,4.0,PECHS,37013743.52
4911,7.0,7.0,Model Town,124643503.44
2451,4.0,4.0,Gulberg,72685845.2
4651,6.0,6.0,Clifton,163252868.34
1189,2.0,3.0,North Nazimabad,19968390.26
4377,5.0,6.0,Bahria Town,137806694.88
963,1.0,1.0,Bahria Town,29467183.3
2117,3.0,2.0,Gulberg,56423098.8
1280,1.0,2.0,Model Town,30678693.46
1231,1.0,1.0,Clifton,43150643.5
2402,4.0,4.0,North Nazimabad,33776261.06
2171,2.0,1.0,Gulshan,33518024.92
3729,4.0,5.0,Gulshan,62930105.43
3748,4.0,4.0,PECHS,88602953.48
2408,3.0,4.0,DHA,85532454.24
2864,4.0,5.0,DHA,111242503.44
1450,3.0,3.0,Gulshan,26738979.12
4066,5.0,6.0,PECHS,93621405.04
3657,4.0,3.0,Bahria Town,101082596.26
4264,5.0,5.0,Clifton,149645101.72
1470,2.0,3.0,PECHS,31503438.99
2872,4.0,5.0,Model Town,65449685.95
2177,3.0,4.0,Clifton,77684565.69
1845,2.0,1.0,DHA,69828584.07
4271,6.0,5.0,Model Town,92333836.21
1961,3.0,3.0,DHA,64909448.47
3775,5.0,6.0,Clifton,132339594.25
2202,4.0,4.0,North Nazimabad,34682078.99
2096,5.0,4.0,North Nazimabad,29286403.18
4713,6.0,7.0,Gulberg,112120021.45
2486,3.0,4.0,Gulshan,43645404.01
2842,4.0,5.0,Bahria Town,81405416.38
4720,5.0,4.0,North Nazimabad,73423023.12
2335,3.0,2.0,Bahria Town,71763721.25
3170,3.0,3.0,DHA,121859502.15
2094,2.0,1.0,Bahria Town,61241444.75
5521,6.0,7.0,Gulberg,137347827.96
5408,6.0,6.0,Gulshan,85263917.22
2099,3.0,4.0,North Nazimabad,29219945.9
3615,4.0,4.0,Gulberg,99991308.48
2475,3.0,4.0,Gulshan,51049494.51
2018,3.0,4.0,Gulberg,54362214.83
2974,4.0,3.0,Clifton,104189329.33
1978,3.0,4.0,Clifton,70290034.22
4498,7.0,8.0,PECHS,89942405.29
4467,,5.0,North Nazimabad,69564239.35
3745,4.0,4.0,Model Town,96770031.33
3192,4.0,5.0,Bahria Town,102157622.52
3953,5.0,6.0,Model Town,84503867.41
1749,3.0,2.0,Gulshan,33980238.38
3981,5.0,4.0,Clifton,130258874.47
1556,3.0,3.0,Clifton,51375266.3
2218,3.0,4.0,PECHS,47682017.81
3277,4.0,4.0,PECHS,71205954.47
1837,3.0,2.0,Gulberg,52412119.87
2643,5.0,6.0,Gulshan,50977938.99
2287,3.0,2.0,Bahria Town,67681947.74
3597,5.0,5.0,North Nazimabad,57763573.15
2798,3.0,2.0,Gulberg,75475450.3
1872,2.0,3.0,Bahria Town,60254251.94
3097,3.0,3.0,Gulshan,47088113.2
3986,6.0,5.0,Clifton,153034217.5
1377,2.0,2.0,PECHS,31790634.64
2051,,5.0,PECHS,43562973.27
2049,2.0,2.0,Gulberg,56408885.13
1882,2.0,3.0,Gulshan,38413800.14
1427,1.0,1.0,Clifton,50641465.37
2831,4.0,5.0,Model Town,77767162.48
3877,4.0,5.0,Gulshan,75802684.6
1786,2.0,2.0,DHA,60237393.51
2862,3.0,3.0,North Nazimabad,49818295.33
2916,4.0,3.0,Clifton,112386322.86
2833,3.0,4.0,Bahria Town,72546075.42
1759,3.0,2.0,DHA,59329562.66
2435,4.0,4.0,Gulberg,66617065.68
2410,3.0,4.0,Model Town,59407495.67
3879,4.0,3.0,Model Town,88645461.71
1136,2.0,2.0,Clifton,36262652.64
1865,2.0,3.0,PECHS,39838085.63
2760,3.0,3.0,DHA,90743627.72
3244,4.0,4.0,PECHS,70759903.15
3195,4.0,3.0,Gulshan,64147358.61
2385,5.0,4.0,Clifton,91097932.92
1918,2.0,3.0,Bahria Town,50378688.53
1035,1.0,2.0,Gulberg,27762743.43
1944,2.0,2.0,Clifton,72743664.57
2938,5.0,,Bahria Town,87539988.48
3334,5.0,4.0,Clifton,116575441.75
1467,3.0,4.0,PECHS,36392196.28
2312,3.0,2.0,Clifton,67995378.09
946,1.0,2.0,North Nazimabad,14764644.64
3882,6.0,5.0,Model Town,87871015.24
2963,4.0,4.0,Model Town,81358580.08
3358,4.0,3.0,Gulshan,61764735.83
1847,2.0,,Bahria Town,58231259.72
3300,4.0,3.0,PECHS,74335386.06
2470,1.0,1.0,DHA,88831823.22
514,1.0,,Bahria Town,15001580.72
3934,5.0,6.0,Gulshan,75785781.11
2534,4.0,5.0,Gulshan,41478328.43
1291,1.0,1.0,Model Town,28827987.58
3344,4.0,3.0,Model Town,89126753.46
3370,5.0,5.0,Gulberg,103016165.97
2413,3.0,2.0,Gulberg,74442067.1
2682,3.0,2.0,Clifton,95287859.92
2905,3.0,4.0,Bahria Town,83178682.2
2681,3.0,3.0,PECHS,61843845.66
1484,1.0,1.0,Bahria Town,37330293.31
3375,3.0,2.0,Gulberg,79706163.42
4037,6.0,6.0,DHA,158085145.66
1999,3.0,2.0,PECHS,42134519.2
1166,1.0,1.0,DHA,44052015.17
1371,2.0,1.0,DHA,43527864.29
3149,5.0,5.0,PECHS,82773536.02
1636,2.0,2.0,DHA,63926250.4
1578,1.0,1.0,Gulberg,37786709.92
2165,2.0,3.0,PECHS,50303240.38
4326,5.0,6.0,Gulberg,123578095.18
4818,6.0,6.0,Gulshan,86165574.77
1998,4.0,5.0,Clifton,73040411.03
1625,2.0,3.0,Clifton,49138628.63
4931,,5.0,Gulberg,141029721.15
1472,3.0,2.0,Bahria Town,37952737.57
3607,4.0,4.0,Gulberg,89934599.48
1878,2.0,2.0,Clifton,63723385.0
1830,2.0,3.0,Gulshan,34580372.1
887,1.0,1.0,DHA,30816685.24
1256,2.0,1.0,Clifton,40297638.47
2952,5.0,4.0,Gulshan,49913760.38
1166,1.0,1.0,Bahria Town,34382299.38
1860,3.0,3.0,Gulberg,54269629.4
2449,3.0,2.0,PECHS,48089155.48
3283,5.0,4.0,North Nazimabad,57537819.74
673,2.0,1.0,Bahria Town,20359197.39
